image_name,image,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
dataset/origimg/org/image_open7.jpg,139,1.0,0.0,0.0065,5.023473632499749e-05,2.2885326360544807,24.621450991695912,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_open8.jpg,19,1.0,0.0,0.0157333333333333,0.0003581299371165,549.2842083148986,553.7919576358258,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_top11.jpg,5,1.0,0.0,0.01169,0.0004910760370109,15.585107451320315,95.26995761634002,1.0,-1.0,-1.0,-1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,-1.0,1.0
dataset/origimg/org/image_top14.jpg,91,1.0,0.0,0.0399433333333333,0.0063807353479484,24.271202578066536,109.11501872058108,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_top16.jpg,18,1.0,0.0,0.00212,2.170486916939227e-05,33.46086019984446,134.76237546132015,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
dataset/origimg/org/image_open17.jpg,25,1.0,0.0,0.01231,0.0003243783844503,2.547357123694062,26.044690737015998,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
dataset/origimg/org/image_top23.jpg,82,1.0,0.0,0.00402,3.949419001372887e-05,17.907645081728695,103.89726891148904,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
dataset/origimg/org/image_open24.jpg,10,1.0,0.0,0.009125,0.0001417727740104,5.728969584840816,57.045854204583065,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_open25.jpg,115,1.0,0.0,0.01616,0.0004809748387137,4.593955643801018,52.8809942529047,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_top27.jpg,145,1.0,0.0,0.0025933333333333,1.9358762537887424e-05,11.89798858824902,54.64045042206476,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
dataset/origimg/org/image_top28.jpg,47,1.0,0.0,0.00657,0.0001331130529731,66.31112612543627,196.0089447966506,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_top30.jpg,74,1.0,0.0,0.00599,0.000232940214591,19.064599105152304,109.72248363917276,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_top34.jpg,122,1.0,0.0,0.0243366666666666,0.0015180977255082,10.142873418017173,56.628005638265726,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_top35.jpg,103,1.0,0.0,0.01071,0.000314183910979,60.03171026990226,182.97212250887637,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_open38.jpg,29,1.0,0.0,0.01848,0.0009383444355392,8.69264227192849,75.04529430774251,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_open40.jpg,146,1.0,0.0,0.00802,0.0001645592631115,4.747581501543754,53.73848666193217,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_top42.jpg,142,0.8514851331710815,0.0,0.302172,0.0295946679145763,21.318617467877203,96.86119571165482,0.8514851331710815,-1.0,-1.0,0.8415841460227966,0.8712871074676514,0.2000000029802322,0.8600000143051147,0.8600000143051147,-1.0,0.8500000238418579,0.875
dataset/origimg/org/image_open43.jpg,20,1.0,0.0,0.0235466666666666,0.0018961364604586,9.07612340132706,75.04458004010809,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_top43.jpg,109,1.0,0.0,0.01598,0.0012683901920636,7.187305237923283,66.72912871350312,1.0,-1.0,-1.0,1.0,-1.0,0.25,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_open44.jpg,22,1.0,0.0,0.1790466666666666,0.0166897505144014,82.74730602769598,149.01591413079356,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_top45.jpg,41,0.9800990223884584,0.0,0.0951633333333333,0.0042145781944085,13.15650248268467,75.50191378831657,0.9800990223884584,-1.0,-1.0,0.9800742864608764,1.0,0.2000000029802322,0.9900000095367432,0.9900000095367432,-1.0,0.987500011920929,1.0
dataset/origimg/org/image_open45.jpg,8,1.0,0.0,0.0137675,0.0005134328165933,30.249485633249854,101.81367828814508,1.0,-1.0,-1.0,1.0,1.0,0.25,1.0,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_open46.jpg,86,1.0,0.0,0.01273,0.0004526034692179,7.805065888017417,70.43968638483756,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_top46.jpg,75,0.9801980257034302,0.0,0.12915,0.0213892754982239,72.09536515317446,129.83983487242446,0.9801980257034302,-1.0,-1.0,0.9801980257034302,0.9801980257034302,0.1666666716337204,0.8333333134651184,0.9833333492279052,-1.0,0.9833333492279052,0.9833333492279052
dataset/origimg/org/image_top47.jpg,61,0.8292225003242493,0.0,0.2298230769230769,0.0356289288468391,23.261504448738712,98.81167903766232,0.8292225003242493,-1.0,-1.0,0.8074744343757629,0.8712871074676514,0.1000000014901161,0.4600000083446502,0.8999999761581421,-1.0,0.9166666865348816,0.875
dataset/origimg/org/image_open47.jpg,134,1.0,0.0,0.075665,0.0275480130267553,863.5888021400924,405.7158027429783,1.0,-1.0,-1.0,1.0,1.0,0.1666666716337204,0.8333333134651184,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_top48.jpg,96,1.0,0.0,0.0649228571428571,0.0096653002228257,13.14778289266596,88.84868193833206,1.0,-1.0,-1.0,1.0,1.0,0.1428571492433548,0.7142857313156128,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_open48.jpg,67,0.930430233478546,0.0,0.1371433333333333,0.0174619547769337,1230.649333583892,390.2992572805288,0.930430233478546,-1.0,-1.0,0.9106781482696532,1.0,0.1666666716337204,0.8333333134651184,0.9333333373069764,-1.0,0.9200000166893004,1.0
dataset/origimg/org/image_top49.jpg,6,0.6255627274513245,0.0,0.50627,0.0478221204466821,43.269028903863926,101.00541204596033,0.6255627274513245,-1.0,-1.0,0.6255627274513245,-1.0,0.3333333432674408,0.6499999761581421,0.6499999761581421,-1.0,0.6499999761581421,-1.0
dataset/origimg/org/image_open49.jpg,108,1.0,0.0,0.025894,0.0028380946528683,6.058947999682743,59.55871995986773,1.0,-1.0,-1.0,1.0,1.0,0.2000000029802322,1.0,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_top50.jpg,79,0.3315755426883697,0.0,0.47888,0.0266292939576676,282.15023999606177,236.48439258983524,0.3315755426883697,-1.0,-1.0,0.3315755426883697,-1.0,0.3166666626930237,0.3333333432674408,0.3333333432674408,-1.0,0.3333333432674408,-1.0
dataset/origimg/org/image_open50.jpg,51,0.8811880946159363,0.0,0.0212012499999999,0.0016455603333063,6.935673768432462,65.09355159074875,0.8811880946159363,-1.0,-1.0,0.8712871074676514,1.0,0.1111111119389534,0.5555555820465088,0.8888888955116272,-1.0,0.875,1.0
dataset/origimg/org/image_open51.jpg,125,0.8609477877616882,0.0,0.1630775,0.0311830241597946,143.6436634773968,169.3565122745028,0.8609477877616882,-1.0,-1.0,0.8413667678833008,1.0,0.1111111119389534,0.5555555820465088,0.8666666746139526,-1.0,0.8500000238418579,1.0
dataset/origimg/org/image_top51.jpg,72,0.9157093167304992,0.0,0.1599471428571428,0.0255149380925997,46.639312774762764,113.8233245462375,0.9157093167304992,-1.0,-1.0,0.888882040977478,0.9702970385551452,0.1000000014901161,0.5,0.9449999928474426,-1.0,0.925000011920929,0.975000023841858
dataset/origimg/org/image_open52.jpg,104,1.0,0.0,0.046978,0.0046425494658076,7.394014258770272,65.50615751299334,1.0,-1.0,1.0,1.0,1.0,0.2000000029802322,1.0,1.0,1.0,1.0,1.0
dataset/origimg/org/image_top52.jpg,127,1.0,0.0,0.0186425,0.0038701812674839,1220.219919657101,515.8213257591977,1.0,-1.0,-1.0,1.0,-1.0,0.25,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_top53.jpg,143,0.6613865494728088,0.0,0.154728,0.0169809995734103,29.84509647782018,114.69432573244616,0.6613865494728088,-1.0,-1.0,0.594059407711029,1.0,0.1666666716337204,0.6666666865348816,0.6666666865348816,-1.0,0.6000000238418579,1.0
dataset/origimg/org/image_open53.jpg,92,0.9991855025291444,0.0,0.1614671428571428,0.0197848369291865,10.61908846569584,73.25131283675026,0.9991855025291444,-1.0,-1.0,0.998644232749939,1.0,0.1666666716337204,0.8333333134651184,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_top54.jpg,32,1.0,0.0,0.0128014285714285,0.0003965144785042,11.326530090348262,78.12008120423452,1.0,-1.0,-1.0,1.0,1.0,0.1428571492433548,0.7142857313156128,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_open54.jpg,63,0.9701291918754578,0.0,0.1067433333333333,0.0183092957867833,852.5962234040803,387.6241896954498,0.9701291918754578,-1.0,-1.0,0.960295021533966,1.0,0.1666666716337204,0.8333333134651184,0.975000023841858,-1.0,0.9700000286102296,1.0
dataset/origimg/org/image_open55.jpg,34,0.7914697527885437,0.0,0.1959575,0.032204893174623,2026.442784429927,496.7239429564742,0.7914697527885437,-1.0,-1.0,0.731137216091156,1.0,0.25,0.800000011920929,0.800000011920929,-1.0,0.7333333492279053,1.0
dataset/origimg/org/image_top55.jpg,30,0.8613861203193665,0.0,0.19003,0.0091385542622946,23.08070148262428,97.98766893774636,0.8613861203193665,-1.0,-1.0,0.7326732873916626,1.0,0.1666666716337204,0.8333333134651184,0.8666666746139526,-1.0,0.7333333492279053,1.0
dataset/origimg/org/image_top56.jpg,62,0.9990196824073792,0.0,0.1691333333333332,0.028081124445657,183.67615584107844,185.4200525309983,0.9990196824073792,-1.0,-1.0,0.9993507266044616,1.0,0.2000000029802322,1.0,1.0,-1.0,1.0,1.0
dataset/origimg/org/image_open56.jpg,2,1.0,0.0,0.011635,0.0004566176600373,6.337509066052736,61.82556233667483,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
dataset/origimg/org/image_open57.jpg,13,0.8712871074676514,0.0,0.301275,0.0619140799990137,9.459581946933914,70.64285181028559,0.8712871074676514,-1.0,-1.0,0.8712871074676514,-1.0,0.5,0.875,0.875,-1.0,0.875,-1.0
dataset/origimg/org/image_top57.jpg,33,1.0,0.0,0.09616,0.0407110545208605,53087.7233558853,4601.352759651695,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
